"specimen_no","specimen","year","CS","lnCS","src","CatalogNumber","DateCollected","RES_1","RES_2","RES_3","RES_4","RES_5","RES_6","RES_7","RES_8","RES_9","RES_10","RES_11","RES_12","RES_13","RES_14","RES_15","RES_16","RES_17","RES_18"
39,"'H69-12.JPG'",1969,6.8,1.92,"reservoir",58658,1969-08-14,-0.003534859,-0.002016936,0.001633744,0.00184232,0.000778196,-0.002931915,0.000556372,-0.000609952,0.001526765,-0.001257031,0.003043381,-0.000701466,0.001228463,-0.001321358,0.00124207,0.001532762,-9.34564e-05,0.000494881
40,"'H69-13.JPG'",1969,6.07,1.8,"reservoir",58658,1969-08-14,-0.003750448,-0.009163744,-0.010442219,0.003843673,-0.007225355,0.000900389,-0.003369615,-0.002002391,0.003713006,-0.002562997,0.003967924,-0.00033953,0.003495641,-0.002187892,0.000698669,-0.000685753,0.003979742,-0.001371068
41,"'H69-14.JPG'",1969,6.03,1.8,"reservoir",58658,1969-08-14,-0.008483234,-0.000945557,-0.009200094,0.0123514,0.002961703,0.004910256,0.001652805,-0.006340469,-0.005758541,0.000359674,0.000137155,-0.002962139,0.001211491,-0.000954014,-0.00021916,0.001986643,-0.000857745,-0.001627398
42,"'H69-15.JPG'",1969,4.45,1.49,"reservoir",58658,1969-08-14,0.01130462,0.000552909,-0.000485587,-0.00252598,-0.004402638,-0.000444556,-0.003754071,-0.002299724,0.004044546,0.002891311,-0.00191759,-0.000336839,-0.001382656,-0.002222245,-0.003767287,-0.001745055,2.38689e-05,0.001106438
43,"'H69-16.JPG'",1969,4.71,1.55,"reservoir",58658,1969-08-14,-0.006657155,0.004811872,0.006957224,0.012038915,-0.00151047,0.005414944,0.004212536,-0.004100511,0.007357786,0.004547496,0.003451857,-0.002895371,0.002016105,-0.000172588,-0.002290565,0.000175915,-0.002605084,-0.001455146
44,"'H69-17.JPG'",1969,3.63,1.29,"reservoir",58658,1969-08-14,0.006137115,-0.007350151,-0.002437322,0.005905772,0.003094843,0.007822865,-0.002536069,-0.002312388,0.005226295,0.001680303,0.001722515,-0.002619203,-0.002960762,-0.000852211,-0.002065963,0.000818577,0.000389734,0.000850187
45,"'H69-18.JPG'",1969,3.72,1.31,"reservoir",58658,1969-08-14,0.000281772,-0.003990827,-0.001435105,0.001008526,-0.006442656,-0.000676376,-0.001207854,-0.007017388,0.002254472,-0.001572089,0.000772234,-0.002428608,-0.003243964,-0.002606143,-0.001334037,0.001019736,-0.000550908,-0.001189599
46,"'H69-19.JPG'",1969,4.04,1.4,"reservoir",58658,1969-08-14,0.00903081,0.001317921,0.000284424,0.00439117,-0.007416917,0.004299043,0.001463767,-0.000549738,-0.003178967,0.004841452,0.00186314,-0.000220376,0.001091984,-0.004066054,0.000719747,-0.000554219,5.50878e-05,-0.00078822
47,"'H69-2.JPG'",1969,7.84,2.06,"reservoir",58658,1969-08-14,0.005014632,-0.000436803,-0.01185821,-0.001294735,-0.002830334,0.004489199,-0.000674539,-0.004881937,-0.007430585,0.002501302,0.007721879,-2.36511e-05,0.002583766,0.004072658,-0.003253177,0.00041958,-0.004043361,0.001269438
48,"'H69-20.JPG'",1969,3.16,1.15,"reservoir",58658,1969-08-14,0.002694823,-0.007488334,-0.000553737,0.005957136,-0.008082433,-0.00914738,-0.00406877,0.003704575,0.008346711,-0.000379089,0.003557358,-0.000269442,0.002816077,-0.002596778,-0.003052826,0.00143456,-0.001246159,6.17037e-05
49,"'H69-3.JPG'",1969,7.86,2.06,"reservoir",58658,1969-08-14,0.000865667,-0.004618868,0.004518839,0.001291795,0.008791446,0.005515029,-0.005016147,-0.001199537,0.010437098,0.001002004,-0.000647191,0.00044086,0.00690423,0.000808855,-0.002287908,0.001873853,-0.001623143,0.000244971
50,"'H69-4.JPG'",1969,8.08,2.09,"reservoir",58658,1969-08-14,-0.007980179,0.007644845,-0.009528088,0.002527925,-0.002484684,-0.003144433,0.002841175,-0.003119499,-0.000774255,0.002673946,0.003198258,-0.000687142,-0.000834585,-0.001737447,-0.001809501,0.002178488,-0.000849207,-0.002265992
51,"'H69-5.JPG'",1969,6.32,1.84,"reservoir",58658,1969-08-14,-0.005209121,-0.007338935,-0.004542839,0.008970678,-0.00176268,-0.004525245,-0.004521512,0.003348551,-0.003770903,0.007823882,0.001904447,-0.000281052,0.002618721,0.004214379,-0.002167339,0.000781877,-0.000758487,-0.001037478
52,"'H69-6.JPG'",1969,6.65,1.89,"reservoir",58658,1969-08-14,-0.005128031,0.001420164,-0.002372528,0.002157611,0.000313275,0.000153452,0.003141908,-0.004833615,-0.002122755,0.004491872,0.001621281,-0.002048337,-0.001107608,-0.001512803,-0.000284553,0.000571647,-0.001931977,0.001222121
53,"'H69-7.JPG'",1969,7.98,2.08,"reservoir",58658,1969-08-14,0.000503492,-0.001465555,0.000209669,0.007192293,0.008966127,0.002174863,0.00244054,0.000720157,0.009296577,-0.000324161,-0.001933745,-0.000830078,0.005395593,-0.000185722,-0.001700839,0.000495708,-0.001140769,0.000274572
54,"'H69-8.JPG'",1969,7.32,1.99,"reservoir",58658,1969-08-14,0.019839161,-0.013254692,-0.007147399,-0.003694599,0.006473549,0.006220013,-0.006923423,-0.005967601,0.00110077,-0.006131112,0.000349107,-0.00187108,0.002857083,-0.003476548,-0.000924945,-0.001168627,-8.03077e-05,-0.000606853
55,"'H69-9.JPG'",1969,7.16,1.97,"reservoir",58658,1969-08-14,-0.002947285,-0.006734269,-0.004549763,0.009925953,0.002385707,-0.004004124,0.006185922,-0.00409122,0.003182163,0.001322423,0.008513029,0.00383099,-0.003952955,0.002918318,-0.002763108,0.001519368,-0.001171607,0.000265893
56,"'H71-1.JPG'",1971,6.83,1.92,"reservoir",70802,1971-08-03,0.004045832,-0.00192844,-0.006480566,0.003828113,0.012060132,0.001868067,0.000699658,0.00086541,0.006455544,0.002339141,0.004656014,-0.003841518,-0.000254057,0.000429264,0.001619259,-0.001957732,0.001090029,0.001527144
57,"'H71-10.JPG'",1971,3.95,1.37,"reservoir",70802,1971-08-03,0.002310141,0.015961802,-0.001205096,0.004313637,-0.000984625,0.002224015,-0.006564553,0.000205988,-0.005329222,-0.002211083,-0.005295078,0.00568358,-0.000977846,0.000129443,0.004951865,0.001349064,-0.001893962,0.000184534
58,"'H71-11.JPG'",1971,3.95,1.37,"reservoir",70802,1971-08-03,0.002409993,-0.003576781,-0.003931221,0.000604219,-0.005542266,-0.001044199,-0.006802093,0.002430641,-0.00522062,-0.010407116,0.007313417,0.003044302,0.001683212,0.003306253,0.001948191,0.001726985,0.001295326,-0.001314709
59,"'H71-12.JPG'",1971,3.97,1.38,"reservoir",70802,1971-08-03,0.008734329,-0.00660975,0.01002532,0.005869948,-0.003366334,0.005119795,0.000212148,0.002082293,-0.000486229,0.000315476,-0.003941771,-0.001508271,-0.006304129,0.000645769,0.005540578,-0.000823195,0.000569642,0.000441502
60,"'H71-13.JPG'",1971,3.27,1.18,"reservoir",70802,1971-08-03,-0.001343877,0.002271047,-0.008698238,0.012211378,0.004987708,0.011849711,0.005560261,-0.00073327,0.008931974,-0.001514141,0.002255182,0.003227163,-0.003124401,0.001890277,-0.00133102,0.00262436,0.000791097,0.002231365
61,"'H71-14.JPG'",1971,3.9,1.36,"reservoir",70802,1971-08-03,0.003626368,0.008130224,-0.007346163,0.015167613,-0.010542355,-0.000696682,-0.002934185,-0.002241946,0.012361632,-0.004870297,0.000932334,0.003523926,-0.001619661,-0.002219231,-0.000660533,0.000960772,-0.002027212,-0.002054388
62,"'H71-15.JPG'",1971,3.61,1.28,"reservoir",70802,1971-08-03,0.006850454,-0.009996417,-0.000958413,0.001197121,0.004822533,-0.007429507,-0.003499124,-0.000212669,0.006152753,-0.004494341,0.000365634,-0.000563535,0.000906189,-0.002480937,-0.00152552,-0.000783887,-0.002069921,-0.00091767
63,"'H71-16.JPG'",1971,3.27,1.18,"reservoir",70802,1971-08-03,0.005821239,-0.00013109,-0.00384143,0.007892918,-0.007365745,-0.003605312,-0.003278012,0.006453378,-0.000992632,-0.003879161,-0.00095479,-0.002618658,-0.000183706,-0.006307946,0.001458792,-0.003151781,-0.004026403,-0.001227478
64,"'H71-17.JPG'",1971,3.98,1.38,"reservoir",70802,1971-08-03,0.002417035,0.01261259,-0.00967249,-0.000275134,-0.001492188,-0.002334396,-0.007296168,-0.003447913,0.009180005,-0.000357455,-0.003903483,0.002284201,-0.001984426,0.000735144,-0.000150863,-0.002372595,-0.000630087,-0.001053586
65,"'H71-18.JPG'",1971,3.85,1.35,"reservoir",70802,1971-08-03,-2.49577e-05,-0.013098993,0.006433467,-0.003006292,-0.005793727,0.002819818,0.003540259,0.002072856,-0.001140839,0.003986919,0.00385607,-0.001762879,-0.002717425,-0.002201334,0.001401946,-0.000779413,-0.001501973,-0.001994549
66,"'H71-19.JPG'",1971,3.3,1.19,"reservoir",70802,1971-08-03,0.001101686,-0.017137724,-0.003580629,0.006442084,-0.002631857,-0.00074714,0.00033495,0.00528204,0.003350942,-0.005390918,0.001826014,-0.004127312,-0.005467383,0.000682069,-0.000492405,-0.001631525,-0.000360903,0.002298905
67,"'H71-2.JPG'",1971,6.91,1.93,"reservoir",70802,1971-08-03,-0.002503033,-0.00565853,-0.002496469,-0.008099185,0.003959623,-0.002580105,-0.004725317,0.000225717,0.001901087,-0.000755613,0.001854565,-0.001304518,0.000457479,0.001056792,0.000238153,0.000262636,0.000876969,-0.001152133
68,"'H71-20.JPG'",1971,3.62,1.29,"reservoir",70802,1971-08-03,0.016776655,0.003208928,0.000419366,0.010103193,0.00157463,0.004351541,0.001804206,-0.000881276,-0.001197112,-0.002104635,-0.005339637,-0.001549693,-0.001024517,-0.003010763,0.001401941,0.000465189,-0.001705373,0.001406178
69,"'H71-21.JPG'",1971,3.56,1.27,"reservoir",70802,1971-08-03,0.005606511,0.001413946,0.013458159,0.009857883,0.004464815,0.003507846,0.005121801,0.002062059,0.003899412,-0.003585129,-0.001300626,0.000843844,0.004495876,0.002846489,0.005721375,-0.00474151,-0.003814468,-0.000712139
70,"'H71-22.JPG'",1971,3.2,1.16,"reservoir",70802,1971-08-03,0.008924675,-0.012525955,-0.01192728,-0.013703277,0.000580452,0.002164766,0.004040258,0.004251581,0.002328118,0.000899054,-0.000738866,-0.000386198,-0.001185444,-0.002323432,0.004198534,-0.001345931,-0.004683275,-0.000620203
71,"'H71-23.JPG'",1971,3.28,1.19,"reservoir",70802,1971-08-03,0.006716814,-0.001926772,0.008285092,-0.005852599,-0.001569133,-0.002056093,0.002676946,-0.000754678,0.004456232,-0.003887134,-0.000244778,-0.005832353,-0.001502051,8.15138e-05,0.000996104,-0.001850345,-0.002046043,0.001601898
72,"'H71-24.JPG'",1971,3.74,1.32,"reservoir",70802,1971-08-03,0.0057749,-0.004665356,-0.008716331,0.007669037,-0.006345432,0.002483334,-0.000461622,-0.002181083,-0.002596329,-0.002900577,0.001320168,-0.000846288,-0.002525437,-0.00412273,0.00203362,-0.000428042,0.001829596,-0.001705358
73,"'H71-25.JPG'",1971,3.3,1.19,"reservoir",70802,1971-08-03,0.018229228,-0.010525416,-0.001428064,0.002889677,0.005366329,0.00799105,0.002618429,-0.003480321,0.004809977,0.004130559,0.002590165,-0.005479324,0.002455492,-0.005072365,0.000135178,-0.001535298,-0.002133888,0.001324179
74,"'H71-26.JPG'",1971,3.52,1.26,"reservoir",70802,1971-08-03,0.003763775,-0.010725429,-0.00656966,0.007669138,0.008921511,0.005024105,-0.003338338,-0.001628177,-0.001362717,0.004646463,-0.002488403,-0.001720857,-0.002123001,-0.000379708,0.002845731,-0.000221432,-0.001372927,0.000391252
75,"'H71-27.JPG'",1971,2.91,1.07,"reservoir",70802,1971-08-03,0.016190738,-0.004365117,0.002531479,0.008536227,0.013895414,0.017148572,-0.009614606,-0.004948339,0.005083441,0.000670379,0.005868147,0.000218666,0.001504896,0.001634457,-0.001116024,-0.001405516,-0.002616499,0.001246118
76,"'H71-28.JPG'",1971,3.92,1.37,"reservoir",70802,1971-08-03,0.005190631,-0.008149158,-0.004931274,0.002861047,-0.004658715,-0.010745268,-0.003280402,0.002538553,0.000858616,-0.004567335,0.004897171,-0.001536629,-0.003120626,-0.001048887,-0.000823183,0.001580243,-0.001102853,-0.002829833
77,"'H71-29.JPG'",1971,3.59,1.28,"reservoir",70802,1971-08-03,-0.004449439,0.011163743,0.015987028,0.00517136,-0.004278081,0.006910796,0.005934485,-0.006300245,0.000971554,0.001006174,-0.001004643,-0.001807861,-0.001067202,0.005761074,0.001667701,-0.000300948,0.004394054,0.000740418
78,"'H71-3.JPG'",1971,6.92,1.93,"reservoir",70802,1971-08-03,0.005547251,-0.015656246,-0.003662783,-0.007513192,0.008086144,-0.007784873,0.001611492,0.002080776,0.001883462,-0.002220396,0.000467521,0.00388411,0.002618975,0.000480757,0.005627807,0.000916321,0.001675524,0.00209927
79,"'H71-30.JPG'",1971,3.41,1.23,"reservoir",70802,1971-08-03,0.004409856,-0.010468943,-0.006778203,-0.003480432,0.00397619,0.006676568,-0.001311217,-0.003781535,-0.003765711,0.003091711,0.003768073,0.001628,-0.000326834,-0.002969923,0.002074681,0.002098886,-0.00038219,-0.000487523
80,"'H71-31.JPG'",1971,3.93,1.37,"reservoir",70802,1971-08-03,-0.000350758,0.00569158,0.011157371,0.007657854,-0.006706821,0.006131409,-0.001594799,-0.001903076,-0.000194576,0.003453364,0.00900641,0.008388717,0.000847544,-0.000292721,0.000185062,0.000362274,-0.001887865,-0.001968832
81,"'H72-1.JPG'",1972,7.43,2.01,"reservoir",78619,1972-08-15,-0.0037175,-0.00027752,-0.005068811,-0.004535195,-0.000873812,-0.004290976,0.003663579,0.001102382,0.001429053,0.003064155,0.00039651,0.001708252,0.003959884,-0.003399431,0.003372046,0.001139994,-0.000902575,-0.000375811
82,"'H72-10.JPG'",1972,6.02,1.8,"reservoir",78619,1972-08-15,-0.005607111,0.007033341,0.008476041,-0.005865715,0.001577691,-0.002259882,0.006202203,-0.002778732,-0.003370077,-5.90216e-05,-0.00825145,-0.000388387,0.005175506,-0.00019907,-0.002964979,0.000670243,-0.0005524,-0.002318696
83,"'H72-11.JPG'",1972,6.33,1.85,"reservoir",78619,1972-08-15,0.002817975,-0.003421566,-0.003620323,-0.000882103,-0.006714201,-0.000944864,0.001224037,-0.003561378,-0.003075915,-0.003503674,-0.00191263,-0.001198113,0.003304795,-0.000644611,-7.32418e-05,-0.000774109,0.002885364,-9.69051e-05
84,"'H72-12.JPG'",1972,8.22,2.11,"reservoir",78619,1972-08-15,0.003342689,0.002406744,0.001400085,-0.00656729,-0.004486188,-0.003366567,0.004104676,-0.000746256,-0.000829301,0.003805065,0.002867387,0.004383699,0.009327907,-0.002298326,0.002436636,0.000780731,0.000777584,0.000245183
85,"'H72-13.JPG'",1972,6.39,1.86,"reservoir",78619,1972-08-15,-0.005045527,-0.002444347,0.007810506,0.003130645,0.003065106,-0.004200439,0.003486088,-0.002787768,-0.004319121,0.002058965,0.00022479,0.003933313,-0.002106573,0.002614845,-0.000761756,-0.001693488,0.000722726,0.000716455
86,"'H72-14.JPG'",1972,6.32,1.84,"reservoir",78619,1972-08-15,-0.000554871,-0.000185993,0.008566632,-0.011969941,0.001811654,0.001658143,-0.004093065,-0.005382714,-0.005393097,-0.00102878,-0.00050529,0.004232744,0.000774441,0.001373011,0.000459563,0.000536551,0.002494015,-0.002328777
